class,cap-shape,cap-surface,cap-color,gill-spacing,gill-color,stalk-shape,stalk-root
p,x,s,n,c,k,e,e
e,x,s,y,c,k,e,c
e,b,s,w,c,n,e,c
p,x,y,w,c,n,e,e
e,x,s,g,w,k,t,e
e,x,y,y,c,n,e,c
e,b,s,w,c,g,e,c
e,b,y,w,c,n,e,c
p,x,y,w,c,p,e,e
e,b,s,y,c,g,e,c
e,x,y,y,c,g,e,c
e,x,y,y,c,n,e,c
e,b,s,y,c,w,e,c
p,x,y,w,c,k,e,e
e,x,f,n,w,n,t,e
e,s,f,g,c,k,e,e
e,f,f,w,w,k,t,e
p,x,s,n,c,n,e,e
p,x,y,w,c,n,e,e
p,x,s,n,c,k,e,e
e,b,s,y,c,k,e,c
p,x,y,n,c,n,e,e
e,b,y,y,c,k,e,c
e,b,y,w,c,w,e,c
e,b,s,w,c,g,e,c
p,f,s,w,c,n,e,e
e,x,y,y,c,n,e,c
e,x,y,w,c,w,e,c
e,f,f,n,c,k,e,e
e,x,s,y,w,n,t,b
e,b,s,y,c,g,e,c
p,x,y,w,c,k,e,e
e,x,y,y,c,n,e,c
e,x,y,n,c,p,e,r
e,b,y,y,c,n,e,c
e,x,f,y,w,w,t,b
e,s,f,g,c,k,e,e
p,x,y,n,c,w,e,e
e,x,f,y,w,p,t,b
e,b,s,y,c,k,e,c
e,b,y,y,c,n,e,c
e,x,y,y,c,n,e,r
e,x,f,n,c,g,e,e
p,x,y,w,c,p,e,e
e,x,s,y,c,w,e,c
e,x,y,w,c,n,e,c
e,x,y,y,c,k,e,c
e,x,s,w,c,w,e,c
e,x,y,y,c,n,e,r
e,f,y,y,c,w,e,r
e,x,y,n,c,w,e,r
e,x,s,w,c,k,e,c
e,b,s,w,c,k,e,c
p,x,y,n,c,k,e,e
p,x,s,w,c,k,e,e
e,b,y,y,c,w,e,c
e,f,f,g,w,n,t,e
e,b,s,w,c,w,e,c
e,x,s,y,c,k,e,c
e,x,y,n,c,p,e,r
